moduleName,featureName,stepDesc,precondition,controlType,inputText,controlAction,expectation,expectationLog,optional
登录,首次启动app,允许喜马拉雅定位,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,选择是否是开发者,Id==com.ximalaya.ting.android:id/main_ok_btn,,,,,,
,,>>点击是,,Id=com.ximalaya.ting.android:id/main_ok_btn,,click,,,1.0
,,判断是否有广告悬浮按钮,Id==com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,click,,,1.0
,,判断是否有广告,Id==com.ximalaya.ting.android.main.application:id/main_close_ad,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_close_ad,,click,,,1.0
,,判断是否有升级提醒,Id==com.ximalaya.ting.android:id/neutral_btn,,,,,,
,,>>点击忽略,,Id=com.ximalaya.ting.android:id/neutral_btn,,click,,,1.0
,,判断是否有选择兴趣页,Id==com.ximalaya.ting.android:id/main_btn_skip,,,,,,
,,>>点击跳过,,Id=Id==com.ximalaya.ting.android:id/main_btn_skip,,click,,,1.0
,,首页点击未登录，进入我页,,text=未登录,,click,,,
,,我页点击登录领积分，进入登录页,,text=登录领积分,,click,text==注册,判断是否成功进入登录页,
,,,,,,,,,
,手机号码登录,登录页判断默认账号是否存在,desc==清空账户,,,click,,,
,,>>清空账号,,desc=清空账户,,click,,,
,,登录页判断默认密码是否存在,desc==清空密码,,,,,,
,,>>清空密码,,desc=清空密码,,click,,,
,,登录页输入账号,,Id=com.ximalaya.ting.android.main.application:id/main_username,15010000070,typewrite,,,
,,登录页输入密码,,Id=com.ximalaya.ting.android.main.application:id/main_password,a123456,typewrite,,,
,,手机号登录页面点击登录,,Id=com.ximalaya.ting.android.main.application:id/main_login,,click,text==我的,手机号登录_判断我的存在,
,,,,,,,,,
,邮箱登录,登录页点击邮箱登录，切换到邮箱登录页,,text=邮箱登录,,click,,,
,,登录页判断默认账号是否存在,desc==清空账户,,,click,,,
,,>>清空账号,,desc=清空账户,,click,,,
,,登录页判断默认密码是否存在,desc==清空密码,,,,,,
,,>>清空密码,,desc=清空密码,,click,,,
,,登录页输入账号,,Id=com.ximalaya.ting.android.main.application:id/main_username,tiny123@163.com,typewrite,,,
,,登录页输入密码,,Id=com.ximalaya.ting.android.main.application:id/main_password,111111,typewrite,,,
,,邮箱登录页面点击登录,,Id=com.ximalaya.ting.android.main.application:id/main_login,,click,text==我的,邮箱登录_判断我的存在,
,,,,,,,,,
,登录页/返回,登录页面点击返回,,Id=com.ximalaya.ting.android:id/layout_left,,click,text==登录领积分,登录页/返回_判断点击返回按钮返回成功,
,,我页点击登录领积分，进入登录页,,text=登录领积分,,click,,,
,,登录页点击安卓返回键,,,,back,text==登录领积分,登录页/返回_判断点击返回键返回成功,
,,,,,,,,,
,注册,登录页点击注册,,text=注册,,click,text==注册协议,注册_判断是否进入注册界面,
,,注册页点击返回,,Id=com.ximalaya.ting.android:id/layout_left,,click,text==密码登录,注册_判断点击返回按钮返回成功,
,,,,,,,,,
,短信验证码登录,登录页点击短信验证码登录,,text=短信验证码登录,,click,text==获取验证码,短信验证码登录_判断是否切换为快捷方式登录,
,,,,,,,,,
,忘记密码,登录页点击忘记密码,,text=忘记密码？,,click,text==忘记密码,忘记密码_判断是否进入忘记密码界面,
,,,,,,,,,
,第三方登录,登录页点击微信登录,,desc=微信登录,,click,,,
,,判断是否有权限,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,等待2s,,2,,sleep,,,
,,判断是否有安全登录提示,text==微信安全登录,,,,,,
,,>>点击确定登录,,text=确定登录,,click,,,1.0
,,等待3s，并判断是否登陆成功,,3,,sleep,text==我的,第三方登录_判断微信登录是否成功,
,,首页点击我的，进入我页,,text=我的,,click,,,
,,我页点击设置，进入设置页,,desc=设置,,click,,,
,,滑到底部,,530-1000-530-250,,swipe,,,
,,设置页，点击退出登录,,text=退出登录,,click,,,
,,点击确定退出登录,,text=确定,,click,,,1.0
,,登录页点击QQ登录,,desc=qq登录,,click,,,
,,判断是否有权限,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,等待2s,,2,,sleep,,,
,,判断是否有安全登录提示,text==QQ登录,,,,,,
,,>>点击确定登录,,text=登录,,click,,,1.0
,,等待3s，并判断是否登陆成功,,3,,sleep,text==我的,第三方登录_判断QQ登录是否成功,
,,首页点击我的，进入我页,,text=我的,,click,,,
,,我页点击设置，进入设置页,,desc=设置,,click,,,
,,滑到底部,,530-1000-530-250,,swipe,,,
,,设置页，点击退出登录,,text=退出登录,,click,,,
,,点击确定退出登录,,text=确定,,click,,,1.0
,,登录页点击微博登录,,desc=微博登录,,click,,,
,,判断是否有权限,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,等待2s,,2,,sleep,,,
,,判断是否有安全登录提示,text==微博,,,,,,
,,>>点击确定登录,,text=确定,,click,,,1.0
,,等待3s，并判断是否登陆成功,,3,,sleep,text==我的,第三方登录_判断微博登录是否成功,
>>>>>>>>,,,,,,,,,
